nom_asignatura,grupo,totalmatriculados,aprobados,desaprobados,inhabilitados
INGENIERIA DE SOFTWARE,1,29,27,0,2
METODOS DE PREDICCION,1,29,27,1,1
SIMULACION,1,29,28,1,0
ELECTRONICA II,1,29,25,4,0
TECNOLOGIA DE OBJETOS,1,29,28,1,0
ENSAMBLAJE Y MANTENIMIENTO DE COMPUTADORAS,2,29,23,1,5
GESTION FINANCIERA BASADA EN T.I.,1,29,28,1,0
SISTEMAS EXPERTOS,1,29,29,0,0
INTELIGENCIA ARTIFICIAL,1,29,29,0,0
COMPUTACION II,2,29,24,2,3
LENGUAJE Y TECNICAS DE COMUNICACION,1,29,27,2,0
GERENCIA DE RECURSOS HUMANOS CON T.I.,1,29,29,0,0
ESTADISTICA PARA INGENIEROS,1,29,25,4,0
ARQUITECTURA DE COMPUTADORAS,1,29,27,2,0
DINAMICA DE SISTEMAS II,1,29,0,0,0
DISEÑO Y EVALUACION DE PROYECTOS,1,30,30,0,0
DISEÑO Y EVALUACION DE PROYECTOS,1,30,29,1,0
SIMULACION,1,30,28,0,2
ALGORITMOS Y ESTRUCTURA DE DATOS,1,30,25,5,0
SISTEMAS OPERATIVOS,1,30,19,11,0
BASE DE DATOS,1,30,20,10,0
SISTEMAS OPERATIVOS,1,30,14,16,0
ORGANIZACION Y METODOS,1,30,30,0,0
COMPUTACION,1,30,27,3,0
SISTEMAS OPERATIVOS,1,30,30,0,0
COMUNICACION DE DATOS,1,30,28,2,0
REDES INFORMATICAS EMPRESARIALES I,1,30,29,1,0
METODOLOGIA DE LA PROGRAMACION,1,30,18,11,1
SISTEMAS DE INFORMACION II,1,30,30,0,0
PROYECTOS DE INVERSION EN T.I.,1,30,29,0,1
INGENIERIA DE INFORMACION,1,30,30,0,0
EPISTEMOLOGIA,1,30,28,2,0
EPISTEMOLOGIA,2,30,29,1,0
LENGUAJE Y TECNICAS DE COMUNICACION,2,30,30,0,0
COMUNICACION DE DATOS,1,30,23,7,0
AUDITORIA DE SISTEMAS,1,30,30,0,0
LENGUAJE Y TECNICAS DE COMUNICACION,2,30,30,0,0
INVESTIGACION DE OPERACIONES II,1,30,28,0,2
GERENCIA DE RECURSOS HUMANOS CON T.I.,1,30,30,0,0
TEORIA DE LENGUAJES Y COMPILADORES,1,30,26,2,2
SISTEMAS EXPERTOS,1,30,0,0,0
