nom_asignatura,grupo,totalmatriculados,aprobados,desaprobados,inhabilitados
TEORIA DE LENGUAJES Y COMPILADORES,1,66,54,4,8
DINAMICA DE SISTEMAS I,1,66,56,3,7
LOGICA MATEMATICA,1,67,52,7,8
MICROCOMPUTACION III,1,67,63,1,3
METODOLOGIA DE LA INVESTIGACION CIENTIFICA,1,67,53,6,8
INGENIERIA ECONOMICA,1,68,48,20,0
INGENIERIA ECONOMICA,1,68,54,7,7
ORGANIZACION Y METODOS,1,68,45,13,10
MICROCOMPUTACION IV,1,68,59,6,3
MATEMATICA II,1,68,35,30,3
MATEMATICA I,1,68,52,3,13
FISICA II,1,68,41,23,4
ALGEBRA LINEAL,1,69,50,17,2
DINAMICA DE SISTEMAS I,1,69,43,14,12
FISICA II,1,69,52,17,0
ALGEBRA LINEAL,1,70,44,16,10
COMPUTACION,1,70,60,9,1
DIBUJO EN INGENIERIA,1,71,53,7,11
MICROCOMPUTACION III,1,72,44,19,9
MATEMATICA I,1,72,35,30,7
MATEMATICA I,1,72,40,25,7
ECONOMIA GENERAL,1,72,65,7,0
MARKETING PARA TECNOLOGIAS DE INFORMACION,1,72,57,14,1
INGLES  II,1,72,0,0,0
MATEMATICA I,1,73,34,30,9
EPISTEMOLOGIA,1,73,68,5,0
DIBUJO EN INGENIERIA,1,74,39,12,23
MICROCOMPUTACION II,1,74,60,11,3
PSICOLOGIA ORGANIZACIONAL,1,74,70,0,4
ETICA Y DEONTOLOGIA,1,74,72,0,2
INTRODUCCION A LA INGENIERIA,1,75,73,0,2
MATEMATICA I,1,77,46,22,9
MATEMATICA I,1,77,42,26,9
ALGEBRA LINEAL,1,78,44,16,18
BIOINFORMATICA,1,78,69,7,2
MATEMATICA I,1,79,48,27,4
MICROCOMPUTACION III,1,82,62,11,9
ESTADISTICA PARA INGENIEROS,1,83,62,15,6
MATEMATICA I,1,85,46,30,9
MATEMATICA I,1,86,41,36,9
ENSAMBLAJE Y MANTENIMIENTO DE COMPUTADORAS,1,87,62,18,7
INGLES  I,1,90,79,11,0
ELECTRONICA DIGITAL,1,91,56,35,0
INGENIERIA DE REQUISITOS,1,91,0,0,0
TECNOLOGIAS DE INFORMACION Y COMUNICACION,1,97,95,2,0
EPISTEMOLOGIA,1,98,75,20,3
INTRODUCCION A LA INGENIERIA DE SISTEMAS,1,98,88,8,2
PSICOLOGIA ORGANIZACIONAL,1,98,87,11,0
